"Year (time)","Geographic Area Name (NAME)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Meaning of Type of Government (GOVTYPE_LABEL)","Meaning of Category (CATEGORY_LABEL)","Item Code (ITEM_CODE)","Meaning of Item Code (ITEM_CODE_LABEL)","Amount ($1,000) (AMOUNT)"
"2012","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,860"
"2013","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","3,918"
"2014","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,166"
"2015","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,056"
"2016","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,009"
"2017","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,122"
"2018","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,802"
"2019","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,824"
"2020","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,338"
"2021","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,319"
"2022","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,677"
"2023","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","1,500"
"2024","Idaho","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","2,101"
"2012","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","28,564"
"2013","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","30,242"
"2014","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","32,890"
"2015","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","25,867"
"2016","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","16,348"
"2017","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","28,063"
"2018","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","33,864"
"2019","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","31,567"
"2020","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","32,829"
"2021","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","39,816"
"2022","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","43,600"
"2023","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","52,356"
"2024","Illinois","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","71,234"
"2012","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,705"
"2013","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","7,381"
"2014","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,444"
"2015","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","9,076"
"2016","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,575"
"2017","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","13,087"
"2018","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","12,144"
"2019","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","11,998"
"2020","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","16,390"
"2021","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","17,898"
"2022","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","27,311"
"2023","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","26,842"
"2024","Indiana","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","30,602"
"2012","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","9,683"
"2013","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","8,541"
"2014","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","7,293"
"2015","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","6,474"
"2016","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","6,698"
"2017","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","7,344"
"2018","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","6,902"
"2019","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","7,396"
"2020","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","6,946"
"2021","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,799"
"2022","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","9,512"
"2023","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,091"
"2024","Iowa","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","10,052"
"2012","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","7,501"
"2013","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","5,957"
"2014","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","5,969"
"2015","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,328"
"2016","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,944"
"2017","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","3,517"
"2018","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,346"
"2019","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,447"
"2020","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,989"
"2021","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","5,791"
"2022","Kansas","SF0158","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","State","Expenditure","M62","Intergovernmental to Local NEC - Police Protection","4,222"
