"","State","year","count"
"962","Maryland",2015,20764
"963","Maryland",2016,19994
"964","Maryland",2017,19367
"965","Maryland",2018,18856
"966","Maryland",2019,18595
"967","Maryland",2020,15623
"968","Maryland",2021,15134
"969","Maine",1978,711
"970","Maine",1979,776
"971","Maine",1980,814
"972","Maine",1981,992
"973","Maine",1982,1110
"974","Maine",1983,1082
"975","Maine",1984,1032
"976","Maine",1985,1317
"977","Maine",1986,1316
"978","Maine",1987,1299
"979","Maine",1988,1277
"980","Maine",1989,1455
"981","Maine",1990,1523
"982","Maine",1991,1579
"983","Maine",1992,1519
"984","Maine",1993,1469
"985","Maine",1994,1474
"986","Maine",1995,1396
"987","Maine",1996,1426
