"","year","state_abbr","state_name","population","violent_crime","property_crime","tot_crime"
"286",1984,"MO","Missouri",5008000,23071,192123,215194
"287",1984,"MS","Mississippi",2598000,7326,72169,79495
"288",1984,"MT","Montana",824000,1958,36380,38338
"289",1984,"NC","North Carolina",6165000,24885,224437,249322
"290",1984,"ND","North Dakota",686000,368,17354,17722
"291",1984,"NE","Nebraska",1606000,3627,52526,56153
"292",1984,"NH","New Hampshire",977000,1308,29347,30655
"293",1984,"NJ","New Jersey",7515000,39659,325231,364890
"294",1984,"NM","New Mexico",1424000,9798,79108,88906
"295",1984,"NV","Nevada",911000,5726,54045,59771
"296",1984,"NY","New York",17735000,162157,826969,989126
"297",1984,"OH","Ohio",10752000,41430,418011,459441
"298",1984,"OK","Oklahoma",3298000,13438,147917,161355
"299",1984,"OR","Oregon",2674000,13533,153423,166956
"300",1984,"PA","Pennsylvania",11901000,38154,325960,364114
"301",1984,"RI","Rhode Island",962000,3220,42706,45926
"302",1984,"SC","South Carolina",3300000,20607,133270,153877
"303",1984,"SD","South Dakota",706000,1041,17403,18444
"304",1984,"TN","Tennessee",4717000,21010,162462,183472
"305",1984,"TX","Texas",15989000,80737,883391,964128
"306",1984,"UT","Utah",1652000,4035,74703,78738
"307",1984,"VA","Virginia",5636000,16660,196581,213241
"308",1984,"VT","Vermont",530000,769,20261,21030
"309",1984,"WA","Washington",4349000,17676,247687,265363
"310",1984,"WI","Wisconsin",4766000,9367,189484,198851
"311",1984,"WV","West Virginia",1952000,3283,42313,45596
"312",1984,"WY","Wyoming",511000,1237,17582,18819
"313",1985,"US","National",237923795,1327767,11102590,12430357
"314",1985,"AK","Alaska",521000,3031,27588,30619
"315",1985,"AL","Alabama",4021000,18398,140115,158513
"316",1985,"AR","Arkansas",2359000,8199,76372,84571
"317",1985,"AZ","Arizona",3187000,19202,207591,226793
"318",1985,"CA","California",26365000,201763,1516710,1718473
"319",1985,"CO","Colorado",3231000,15219,208336,223555
"320",1985,"CT","Connecticut",3174000,12758,136572,149330
"321",1985,"DC","District of Columbia",626000,10171,39904,50075
"322",1985,"DE","Delaware",622000,2695,28164,30859
"323",1985,"FL","Florida",11366000,106971,753918,860889
"324",1985,"GA","Georgia",5976000,30311,275070,305381
"325",1985,"HI","Hawaii",1054000,2313,52501,54814
"326",1985,"IA","Iowa",2884000,6106,107607,113713
"327",1985,"ID","Idaho",1005000,2360,36916,39276
"328",1985,"IL","Illinois",11535000,82448,530205,612653
"329",1985,"IN","Indiana",5499000,17014,198220,215234
"330",1985,"KS","Kansas",2450000,8716,98474,107190
"331",1985,"KY","Kentucky",3726000,11384,98428,109812
"332",1985,"LA","Louisiana",4481000,31108,218195,249303
"333",1985,"MA","Massachusetts",5822000,31334,245665,276999
"334",1985,"MD","Maryland",4392000,36655,199318,235973
"335",1985,"ME","Maine",1164000,1950,40789,42739
"336",1985,"MI","Michigan",9088000,66714,511852,578566
"337",1985,"MN","Minnesota",4193000,10751,162597,173348
"338",1985,"MO","Missouri",5029000,25321,194247,219568
"339",1985,"MS","Mississippi",2613000,7079,78254,85333
"340",1985,"MT","Montana",826000,1722,35855,37577
"341",1985,"NC","North Carolina",6255000,26327,231465,257792
"342",1985,"ND","North Dakota",685000,322,18032,18354
"343",1985,"NE","Nebraska",1606000,3821,55514,59335
"344",1985,"NH","New Hampshire",998000,1405,31049,32454
"345",1985,"NJ","New Jersey",7562000,41172,344067,385239
"346",1985,"NM","New Mexico",1450000,10207,83843,94050
"347",1985,"NV","Nevada",936000,6244,55294,61538
"348",1985,"NY","New York",17783000,165365,828446,993811
"349",1985,"OH","Ohio",10744000,41000,408882,449882
"350",1985,"OK","Oklahoma",3301000,13930,165150,179080
"351",1985,"OR","Oregon",2687000,14807,166023,180830
"352",1985,"PA","Pennsylvania",11853000,39240,320788,360028
"353",1985,"RI","Rhode Island",968000,3355,42368,45723
"354",1985,"SC","South Carolina",3347000,21121,140892,162013
"355",1985,"SD","South Dakota",708000,967,17730,18697
"356",1985,"TN","Tennessee",4762000,22592,175827,198419
"357",1985,"TX","Texas",16370000,90030,985265,1075295
"358",1985,"UT","Utah",1645000,4398,83072,87470
"359",1985,"VA","Virginia",5706000,16813,198821,215634
"360",1985,"VT","Vermont",535000,790,20011,20801
"361",1985,"WA","Washington",4409000,18757,269099,287856
"362",1985,"WI","Wisconsin",4775000,9880,181918,191798
"363",1985,"WV","West Virginia",1936000,3214,40401,43615
"364",1985,"WY","Wyoming",509000,1307,19130,20437
"365",1986,"US","National",240132887,1489169,11722700,13211869
"366",1986,"AK","Alaska",534000,3046,30307,33353
"367",1986,"AL","Alabama",4053000,22616,151191,173807
"368",1986,"AR","Arkansas",2372000,9365,83729,93094
"369",1986,"AZ","Arizona",3317000,21835,221015,242850
"370",1986,"CA","California",26981000,248370,1576299,1824669
"371",1986,"CO","Colorado",3267000,17105,212626,229731
"372",1986,"CT","Connecticut",3189000,13578,140411,153989
"373",1986,"DC","District of Columbia",626000,9423,42781,52204
"374",1986,"DE","Delaware",633000,2703,27881,30584
"375",1986,"FL","Florida",11675000,121013,839651,960664
"376",1986,"GA","Georgia",6104000,35869,297130,332999
"377",1986,"HI","Hawaii",1062000,2604,57626,60230
"378",1986,"IA","Iowa",2851000,6703,111633,118336
"379",1986,"ID","Idaho",1003000,2232,39964,42196
"380",1986,"IL","Illinois",11533000,93454,548311,641765
"381",1986,"IN","Indiana",5504000,16937,195233,212170
"382",1986,"KS","Kansas",2461000,9076,109607,118683
"383",1986,"KY","Kentucky",3728000,12467,102810,115277
"384",1986,"LA","Louisiana",4501000,34128,239444,273572
"385",1986,"MA","Massachusetts",5832000,32476,242989,275465
"386",1986,"MD","Maryland",4463000,37177,212831,250008
"387",1986,"ME","Maine",1174000,1726,38909,40635
"388",1986,"MI","Michigan",9145000,73517,520127,593644
"389",1986,"MN","Minnesota",4214000,11991,171832,183823
"390",1986,"MO","Missouri",5066000,29310,206463,235773
"391",1986,"MS","Mississippi",2625000,7196,80612,87808
"392",1986,"MT","Montana",819000,1289,35393,36682
"393",1986,"NC","North Carolina",6331000,30128,244121,274249
"394",1986,"ND","North Dakota",679000,348,17343,17691
"395",1986,"NE","Nebraska",1598000,4196,57418,61614
"396",1986,"NH","New Hampshire",1027000,1433,32767,34200
"397",1986,"NJ","New Jersey",7620000,43623,355764,399387
"398",1986,"NM","New Mexico",1479000,10731,87266,97997
"399",1986,"NV","Nevada",963000,6923,53647,60570
"400",1986,"NY","New York",17772000,175210,849827,1025037
"401",1986,"OH","Ohio",10752000,45260,423387,468647
"402",1986,"OK","Oklahoma",3305000,14423,184342,198765
"403",1986,"OR","Oregon",2698000,14830,176207,191037
"404",1986,"PA","Pennsylvania",11889000,42629,326149,368778
"405",1986,"RI","Rhode Island",975000,3271,44528,47799
"406",1986,"SC","South Carolina",3378000,22789,150752,173541
"407",1986,"SD","South Dakota",708000,883,18346,19229
"408",1986,"TN","Tennessee",4803000,25919,191861,217780
"409",1986,"TX","Texas",16682000,109925,1125897,1235822
"410",1986,"UT","Utah",1665000,4441,86774,91215
"411",1986,"VA","Virginia",5787000,17708,205658,223366
"412",1986,"VT","Vermont",541000,807,20708,21515
"413",1986,"WA","Washington",4463000,19505,287535,307040
"414",1986,"WI","Wisconsin",4785000,12339,183692,196031
"415",1986,"WV","West Virginia",1919000,3156,41301,44457
"416",1986,"WY","Wyoming",507000,1486,20605,22091
"417",1987,"US","National",242288918,1483999,12024709,13508708
"418",1987,"AK","Alaska",525000,2391,25841,28232
"419",1987,"AL","Alabama",4083000,22833,158918,181751
"420",1987,"AR","Arkansas",2388000,9839,91537,101376
"421",1987,"AZ","Arizona",3386000,20742,222663,243405
"422",1987,"CA","California",27663000,253943,1545928,1799871
